Date,PBW,PBD,SPY,URTH
2018-05-08,133.99193492477585,121.23375198544515,117.81916734600684,118.7227184997619
2018-05-09,135.08954638747,121.8597294923121,118.78574401410076,119.43619214828341
2018-05-10,137.64867715126437,124.27030824731027,119.7208048726061,120.2570662677352
2018-05-11,136.81691452609505,123.58693579426152,120.02593579068801,120.48012776681331
2018-05-14,138.11314082621533,124.35146470903994,120.07358280549627,120.7249544073751
2018-05-15,138.03786623835913,122.45465139939363,119.38488590200518,119.95896592227233
2018-05-16,139.35613513300063,122.68666789021445,119.8053890761822,120.27219870134012
2018-05-17,138.83569129793082,123.76691744971038,119.72091196885053,120.3725711437657
2018-05-18,138.2004144861225,122.92721815850149,119.47091264200765,120.04948635251627
2018-05-21,139.44148226277665,123.62005999201713,120.22276781684234,120.64186231324692
2018-05-22,138.66138942761273,123.00843977662966,119.9447527533021,120.53075289755681
2018-05-23,137.6505374632935,122.31613091056894,120.21987106895469,120.1525504932028
2018-05-24,136.8941049409801,123.55547908487728,120.0150138884593,119.96273564999215
2018-05-25,136.70355906637386,122.10177147340318,119.7767463204352,119.67187298302073
2018-05-29,137.42902154378734,121.55829558673965,118.62664345326297,118.25821367003604
2018-05-30,137.92182318234305,121.63635393865204,119.96111541984543,119.53281829297839
2018-05-31,136.94106035081893,122.57239050975686,119.34852490596435,118.82487664948897
2018-06-01,136.29344101255626,121.95415305766812,120.33029342967454,119.91134006940909
2018-06-04,134.41460752884615,121.0210279506486,120.80543515627117,120.26960215619542
2018-06-05,134.53184350565982,120.70705650189153,120.87819332705038,120.25844403895024
2018-06-06,134.1415219670415,120.23461975509244,121.71424848587992,121.17331597909522
2018-06-07,133.51456332855355,120.94663871449949,121.7034342176907,120.85270426442733
2018-06-08,132.76534988421295,119.53266103991864,121.99907085418857,121.2187137900002
2018-06-11,132.7256191378819,121.28565118880505,122.13207172191937,121.48394254326571
2018-06-12,134.03722456597177,121.91211885394455,122.26131349112386,121.43985468473231
2018-06-13,134.74338504769813,120.43351551995862,121.9422203441317,121.17521085773592
2018-06-14,134.78234191895686,119.72261383218104,122.19399612735822,121.2636595407143
2018-06-15,132.83530144365272,120.19994415098292,121.61996174266683,121.08692692735714
2018-06-18,132.95443877063167,118.933120350806,121.41427945847687,120.6332325048184
2018-06-19,132.4784414035446,115.96600024145542,121.03100003703082,118.98806160375008
2018-06-20,133.51471173953746,116.70979525034981,121.20159939118804,119.1236799498564
2018-06-21,132.7257541066782,115.5613178552092,120.57471567967022,118.53677627940284
2018-06-22,133.16313228568427,118.54886682598887,120.75703773983828,119.01361342769323
2018-06-25,131.89630848550738,115.2450807465909,119.39575421093356,117.70287482643968
2018-06-26,132.65813135094604,115.2450807465909,119.61715867717548,117.84027206895591
2018-06-27,131.46434206690617,113.57841566938146,118.78873454262578,116.97130094594411
2018-06-28,131.66570830619,112.98518984423697,119.36048449993967,117.51340156560583
2018-06-29,131.94706523759712,113.75245460212402,119.50444851107737,117.84608588546239
2018-07-02,132.58834717154306,112.9910319717385,119.71824480084273,117.65171340578615
2018-07-03,132.11044658884086,113.16153886469836,119.36512499402868,117.26220262136746
2018-07-05,133.51100835224764,113.16153886469836,120.18092104602958,118.30878536322894
2018-07-06,134.3397340160524,114.43813136282834,121.02674441392962,119.09412845065539
2018-07-09,135.0833760502252,115.69864041335818,121.92718023843105,119.78300545723776
2018-07-10,135.43302699578925,116.2795507346546,122.28702191599959,120.16433825661619
2018-07-11,134.03929640571997,114.2168444445508,121.55557387384617,118.92411411097198
2018-07-12,134.27487306417538,115.3120433973248,122.46217284026515,119.84050461237142
2018-07-13,133.64816000852005,114.31204435099912,122.54092189154062,120.05351184096638
2018-07-16,132.97807695503013,115.15379036810442,122.45150524456665,119.82977658019027
2018-07-17,132.8193431680607,114.23559620382724,122.8560319495236,120.14371174291306
2018-07-18,133.33604058023738,115.16229930187083,123.06639182235233,120.42313500947064
2018-07-19,133.69190551491994,114.91188415898684,122.68924901732802,119.95501400720698
2018-07-20,132.58867939767993,114.91188415898684,122.57496068724988,120.24616126135126
2018-07-23,132.26995460688224,113.65665720564435,122.76089444900195,120.2573293458791
2018-07-24,131.87027283374024,115.35157081608793,123.26409683412159,120.7039091463053
2018-07-25,132.99387109131757,114.60156954452219,124.11634801089228,121.48194286726198
2018-07-26,133.86688421311888,116.364794068766,123.88043610472839,121.31650608673021
2018-07-27,132.37200160247335,116.61231662037046,123.20281101297586,120.8193817330732
2018-07-30,131.33366206822592,116.03618742677395,122.68045966958763,120.51961861107785
2018-07-31,133.1496380291682,115.95340407458028,123.17339565996501,120.84255099000625
2018-08-01,133.78380311166956,116.6162037906429,123.00633162728593,120.55395678709297
2018-08-02,134.25643344691218,116.0400745970464,123.5510974809763,120.77659615497178
2018-08-03,133.590027822574,115.04669805468737,123.9795798607745,121.05428137477597
2018-08-06,134.73445957645106,114.21057446647023,124.34629654714236,121.15397562433526
2018-08-07,135.8659497248053,115.6439646959399,124.67652837522498,121.56339811624892
2018-08-08,136.05884801536615,115.6439646959399,124.63451033375514,121.61850397136796
2018-08-09,135.7122937028229,115.39459035149189,124.49789429559459,121.25502580446967
2018-08-10,134.6690226086555,114.97792209536803,123.82788215365181,120.12745930724485
2018-08-13,133.38046378069254,113.30428349739859,123.45353636156086,119.80321857869909
2018-08-14,133.53868770115247,112.62343308287896,124.09160362636918,120.16216382754614
2018-08-15,131.7219456394743,112.96619196541128,123.34486351972424,119.25683517264243
2018-08-16,132.44600155563074,111.85602873725225,124.15400497375724,119.95613033571317
2018-08-17,131.9268279799037,112.28780931639115,124.50604327855011,120.31455293786316
2018-08-20,133.77347990539167,112.1158363364525,124.72003888451557,120.7386655375104
2018-08-21,134.52239051013694,114.18302610294357,124.95456924425376,121.20543387855976
2018-08-22,133.97466205718848,113.67669346424995,124.89520523212477,121.33817183780987
2018-08-23,134.0140020605395,114.44005353956031,124.76241532927617,121.06198976835421
2018-08-24,135.03641741941354,115.2817995566656,125.36425625067868,121.54941910010221
2018-08-27,135.65922724458267,114.78096927089764,126.15379015787111,122.49749606960003
2018-08-28,134.92421551826249,115.78767971377533,126.20210772603568,122.42105215231543
2018-08-29,136.24923560637515,115.78767971377533,126.74018632921656,122.96750023974712
2018-08-30,135.0569299681352,114.8740612999401,126.33534786726976,122.48923671647947
2018-08-31,135.64081325117138,115.12552594540348,126.33879594375819,122.00868317372719
2018-09-04,135.25381487315587,114.6238501977001,126.1665662568012,121.61359910930636
2018-09-05,134.6710657672348,113.95158190971225,125.89742482418407,121.11778094376551
2018-09-06,133.49873581306636,114.71300454009776,125.59641969639046,120.91846712465151
2018-09-07,132.54973751421915,112.94978001585395,125.40208406636653,120.41919167590504
2018-09-10,132.50982405378912,112.94978001585395,125.57593663569506,120.68680749097285
2018-09-11,133.06892702715052,112.94978001585395,125.90567688884585,121.05380241732358
2018-09-12,133.4263541577983,112.94978001585395,125.92989668721127,121.28648838349827
2018-09-13,133.4263541577983,113.88995618803177,126.52134365869625,121.9387147523425
2018-09-14,133.6637877345909,113.88995618803177,126.53854212957485,122.00460992706275
2018-09-17,132.83473489169643,114.65201542355967,126.00911125805713,121.65338646895658
2018-09-18,134.02899933054152,115.32428371154752,126.55172802175724,122.2151246902228
2018-09-19,134.8157843908845,115.90859632568196,126.65828934817827,122.59847459429966
