Date,TAN,SPY,URTH
2018-12-06,125.07727131835726,119.4678786695201,114.75130748048097
2018-12-07,122.43558426205404,117.14428353953032,112.96263827935866
2018-12-10,121.59690605556767,117.33398645947788,112.75758968349481
2018-12-11,121.64665843712015,117.35670678247165,112.64881963247448
2018-12-12,122.54173700356796,117.86024161292596,113.72564888016635
2018-12-13,122.8374465315871,117.82633957842452,113.52215574264865
2018-12-14,121.36323946138796,115.97986334273685,111.80691014103516
2018-12-17,119.06897960115619,114.01802490207062,110.24479305394799
2018-12-18,118.20118952984528,113.90837625755792,109.41413874212009
2018-12-19,116.24444823595381,112.41080400697089,108.2889961619044
2018-12-20,114.45873323469762,110.7830095202607,106.8349641101499
2018-12-21,113.228779009023,108.165377417403,105.01304243468246
2018-12-24,110.73825869730828,105.5230838191529,103.07891306658719
2018-12-26,114.62498188828454,110.57557017356025,106.35716340568551
2018-12-27,113.66293802599203,111.34330707528592,107.35070746125504
2018-12-28,113.87879882845569,111.21430827866779,107.42737181613158
2018-12-31,113.77109576926149,112.09019048611293,108.1167640067408
2019-01-02,115.06490540989647,112.19422157955916,108.12943613364313
2019-01-03,114.00050544611477,109.80794524384481,106.45600847037451
2019-01-04,118.62665177904981,113.15751833704135,109.49881492297745
2019-01-07,120.47754478101244,113.94598281581487,109.9617813332117
2019-01-08,120.5280254935386,114.88551583137574,110.9457157042656
2019-01-09,121.94074340956675,115.35286492136902,111.63638855323839
2019-01-10,124.12980075139276,115.7056205355115,112.08960113205788
2019-01-11,123.39951097927539,115.74425082816806,111.79694720337562
2019-01-14,123.2033412422669,115.1341585342392,111.43007006667622
2019-01-15,123.25248241521223,116.2802394499278,112.3383772382508
2019-01-16,122.7613214207529,116.52222326711352,112.43569122918333
2019-01-17,124.48886523869808,117.2808945773288,113.15266331731864
2019-01-18,123.7610558188208,118.61189553326624,114.250640745246
2019-01-22,122.53915938095767,117.26084613787415,112.87816012307931
2019-01-23,124.46890363956436,117.47008997154902,113.10807595416541
2019-01-24,127.62424153516443,117.52323302948655,113.30123788725479
2019-01-25,130.02424261225542,118.36937648978518,114.32545586050549
2019-01-28,132.32203670573318,117.6093535298373,113.58595783537582
2019-01-29,131.15402131396115,117.47665483005083,113.75418589064483
2019-01-30,133.3812930008619,119.05973172621356,114.98978902374866
2019-01-31,136.93843463070107,119.93797607236945,115.66522414514544
2019-02-01,134.491025529086,119.98613851683287,115.62991484709913
2019-02-04,135.67940786149643,120.68968362297991,116.23041188512798
2019-02-05,136.33186379896324,121.10886831346987,116.78050693109365
2019-02-06,136.93688238448533,120.97704265946234,116.51278100031821
2019-02-07,135.30457543900823,120.02376273021424,115.48570671193869
2019-02-08,134.6058861373602,120.14591663351327,115.39136493342971
2019-02-11,135.2215386925825,120.20137339241717,115.37955882379049
2019-02-12,136.27049711596538,121.48731347412516,116.65449902297253
2019-02-13,137.00579153691308,121.81200669230891,116.88762286736917
2019-02-14,138.42270828544807,121.5901857631025,116.74807743165745
2019-02-15,136.771559753949,122.67991175667557,117.99414667656242
2019-02-19,140.08624108385465,122.85296976395037,118.23569151044278
2019-02-20,139.58623758704883,123.05451647846985,118.52255323806509
2019-02-21,141.72191701253112,122.69892931516644,118.22506796153054
2019-02-22,144.87895053870034,123.31892828331989,118.7873790324527
2019-02-25,145.07767564745936,123.45505149937436,119.00420254878443
2019-02-26,144.1256733474435,123.383506816592,119.11807008974161
2019-02-27,143.52495399359856,123.34054708795065,118.86784121657857
2019-02-28,143.92785642187928,123.15429368232242,118.62838957258752
2019-03-01,144.449522394466,123.77867318486442,119.29132458826533
2019-03-04,144.13016141186085,123.41492613315377,118.85985274230788
2019-03-05,143.16900891799673,123.2789186560193,118.85985274230788
2019-03-06,140.2980056927033,122.6732264088866,118.3352785928431
2019-03-07,137.80008575084167,121.83668621526567,117.34937858452537
2019-03-08,136.81802109889006,121.63668683669191,117.1988577107517
2019-03-11,140.35402660100266,123.08681112082805,118.50916025110836
2019-03-12,140.60392025102522,123.4639077246789,118.70373294608514
2019-03-13,141.01937676426826,124.12582985719042,119.5033639044143
2019-03-14,140.7711373527954,124.06185293313973,119.32204473330341
2019-03-15,140.39784763769995,124.11520116707439,120.08271475489406
2019-03-18,142.43781334036416,124.47778657908397,120.47707923277697
2019-03-19,143.0498068823043,124.50258285562145,120.51074789698642
2019-03-20,143.49587586459228,124.2015891863981,120.30879534372426
2019-03-21,141.1139616874249,125.33105938040772,121.01706392655407
2019-03-22,137.35052150575825,123.40642524460135,119.0635029037485
2019-03-25,136.70591636790047,123.33122687214721,119.07488228053043
2019-03-26,136.4896484501055,124.0766348812395,119.74656259915844
2019-03-27,136.2295727382023,123.55372607139469,119.39600559641734
2019-03-28,136.79454083673988,123.93277044176078,119.61161477264275
2019-03-29,136.88097324076415,124.56332139652908,120.15515839194259
2019-04-01,138.7808028476576,125.74923737488113,121.31519755026719
2019-04-02,139.37402059081649,125.79822266509386,121.34859632492628
2019-04-03,140.76407925504415,125.95558609661126,121.73813275237752
2019-04-04,141.84426301980645,126.22092343772506,121.82682658138131
2019-04-05,143.77603167919125,126.70494554368238,122.20343709520769
2019-04-08,144.4615158788839,126.78118396594364,122.3137863239544
2019-04-09,142.5792598665534,126.26869705762391,121.74058938230547
2019-04-10,144.08946737362848,126.60979586889249,122.09535624001151
2019-04-11,142.3202654467693,126.58204010647547,122.05117452589754
2019-04-12,143.05706570435115,127.25863434846767,122.70324826153076
2019-04-15,143.50403319835706,127.19315239402589,122.68129081875772
2019-04-16,144.35355179728293,127.25867725542757,122.75817131571327
2019-04-17,145.27613318284585,127.01398762001355,122.70329527285703
2019-04-18,144.9979149982324,127.21090480177301,122.85702250478585
2019-04-22,145.9146130486013,127.29710575669692,122.86798855711656
2019-04-23,147.05995633068133,128.19627410613927,123.3941842610365
2019-04-24,146.94281191080424,127.97434229596176,123.04522056913494
2019-04-25,146.6300678766187,127.91273904284215,122.96861770534836
2019-04-26,146.82614331607184,128.37841818202594,123.42859559338883
2019-04-29,146.12164858729682,128.53519247374635,123.59211231746521
2019-04-30,145.01798017033525,128.58623337583794,123.82067031784632
2019-05-01,146.13396536341077,127.83458670634045,122.97367410727537
2019-05-02,146.44929812281035,127.61869112768194,122.80940524242503
2019-05-03,149.4355389823388,128.59746926326937,123.87346135512982
2019-05-06,146.9174166226814,128.1859495339555,123.23306587539508
2019-05-07,149.2657547807484,126.51597667481846,121.53981370557246
2019-05-08,147.7743612995337,126.37705613626424,121.50647802382004
2019-05-09,144.1252909357699,126.07448071078477,121.06183425998086
2019-05-10,146.42182478682824,126.57681881969782,121.49729585028884
2019-05-13,142.64081215370445,124.06379535611909,119.25160745495877
2019-05-14,143.8278731629394,124.96816360983898,120.13867532325149
2019-05-15,145.85052694080534,125.55390944535785,120.74740142076065
2019-05-16,148.34854869047936,126.48003540868062,121.54291860224265
2019-05-17,146.02746407687977,125.83352314235437,121.0315812421336
2019-05-20,144.99776020012004,125.17231961762958,120.32767369641519
2019-05-21,148.07899455312545,126.07388589638964,121.13783862165064
2019-05-22,148.73893273163267,125.76673960033796,120.84763378019116
2019-05-23,145.46087499362307,124.54488259137038,119.68341023355535
2019-05-24,147.1355164512451,124.77171469516001,120.22706831777977
2019-05-28,148.27277494350918,123.84166133418482,119.37092937942677
2019-05-29,147.61360445006574,123.17059050649554,118.62101045420307
2019-05-30,148.97971866808373,123.44371006506485,118.94155857576922
2019-05-31,147.82454252256002,122.09618120362549,117.94875343545688
2019-06-03,149.4217370928504,121.84189206300347,117.69517895956226
2019-06-04,150.2652927446835,124.01255575389978,119.69424957342522
2019-06-05,152.2424808543733,124.87877066366168,120.20405425763336
2019-06-06,151.57133876927287,125.52903797828408,120.63236495216626
2019-06-07,152.9602308402583,126.52974241145539,121.88938264662484
2019-06-10,154.4411624031635,126.98863598080266,122.39924639994864
2019-06-11,154.5870978856517,126.9644094784242,122.25588815890269
2019-06-12,152.61988149031959,126.78788498592814,122.04605664592343
2019-06-13,155.4069495105824,127.20051089646071,122.21206098951096
2019-06-14,154.10542885860292,127.09001403152602,121.92479755995195
2019-06-17,152.31055785196577,127.12803703776585,120.53975600870544
2019-06-18,156.04050943689708,128.17513895932817,121.68581965260026
2019-06-19,156.86755529810478,128.40085841072565,122.13016706517008
2019-06-20,157.15286172140722,129.35629000026182,123.07022290606152
2019-06-21,156.7261162176661,128.72761919526857,122.77440100072906
2019-06-24,157.011830230902,128.60517519813848,122.80736669226408
2019-06-25,154.26966335107372,127.62438077668996,121.98346247381147
2019-06-26,155.0386161007183,127.52463922517619,121.98346247381147
2019-06-27,157.29151915875534,127.87923652436999,122.26037873807856
2019-06-28,157.75349879960444,128.3938162842328,122.80163342754796
2019-07-01,159.66364736499085,129.301667363451,123.49379438782908
2019-07-02,160.56611259824848,129.5620979269816,123.8102165489847
2019-07-03,161.04770665094244,130.36161051873873,124.50632202283035
2019-07-05,161.21888482956746,130.24782325241318,124.25788461476752
2019-07-08,160.97965142465748,129.69834118519742,123.77061124641082
2019-07-09,160.4315190351927,129.82299420994562,123.6617989804035
2019-07-10,160.53485619877284,130.3007972647224,124.1519917181842
2019-07-11,158.1260507326502,130.5352208410831,124.37963300216539
2019-07-12,159.50122485555232,130.98291598953142,124.67165579595134
2019-07-15,159.6055750699715,131.01617928756764,124.61773252414325
2019-07-16,159.57082792388655,130.69365186588746,124.31561903862871
2019-07-17,160.02268457560072,130.01314998009494,123.95847420572277
2019-07-18,160.12649318128067,130.3792399826615,124.14311433769711
2019-07-19,160.5067234239049,129.82374916208755,123.7419921285076
2019-07-22,160.36897922877318,130.0693932162537,124.03588201094418
2019-07-23,159.231048457373,130.78439990522753,124.67621625361124
2019-07-24,159.02177232977368,131.25435413242022,125.02130380158908
2019-07-25,157.7984225429754,130.7766463200053,124.26901518828583
2019-07-26,158.68306514019838,131.44664957521363,125.02700608076307
2019-07-29,159.48979800722702,131.2645303431479,124.91953042226149
2019-07-30,160.0117173521291,131.0190615395421,124.27402370486462
2019-07-31,162.15779160734542,129.92501773415273,123.7434358631043
2019-08-01,165.07206000341907,129.0542258161655,122.63304585038533
2019-08-02,165.10498170660287,128.30127463984041,121.84045049554793
2019-08-05,159.37753003055002,125.29396552227836,119.27719581558078
2019-08-06,161.8565838257743,126.69625583516793,120.1540939978716
2019-08-07,167.61467756373764,126.75532930109756,120.70726384844812
2019-08-08,169.35436503877435,128.71733710487368,122.11065444492594
2019-08-09,166.9161115250824,128.0361845834993,121.56814130782992
2019-08-12,165.32571951076312,126.81885111789035,120.29907822599624
2019-08-13,165.29273722520082,128.3740218593233,121.67465741995231
2019-08-14,161.2676651867624,125.41726429397832,118.88297458823615
2019-08-15,160.68327166526964,125.68144182695617,119.11180404447246
2019-08-16,163.76072459507785,127.15694237046176,120.13920306451328
2019-08-19,166.64566463452368,128.36171314948777,121.15615394121262
2019-08-20,167.59121079512792,127.59545914296584,120.60805790608259
2019-08-21,170.0459919687585,128.409005248979,121.5078390211566
2019-08-22,167.74460622462644,128.3782215759713,121.20687296851828
2019-08-23,164.71136795098928,125.80947769023877,119.06017602539414
2019-08-26,167.07410009690443,126.9153207055061,120.11137099069093
