Date,TAN
2017-09-29,21.649999618530273
2017-10-02,21.670000076293945
2017-10-03,21.81999969482422
2017-10-04,21.8799991607666
2017-10-05,21.950000762939453
2017-10-06,21.93000030517578
2017-10-09,21.6299991607666
2017-10-10,21.959999084472656
2017-10-11,21.860000610351562
2017-10-12,22.139999389648438
2017-10-13,22.3799991607666
2017-10-16,22.540000915527344
2017-10-17,22.639999389648438
2017-10-18,22.670000076293945
2017-10-19,22.299999237060547
2017-10-20,22.520000457763672
2017-10-23,23.0
2017-10-24,22.90999984741211
2017-10-25,22.93000030517578
2017-10-26,23.139999389648438
2017-10-27,23.969999313354492
2017-10-30,24.1299991607666
2017-10-31,23.979999542236328
2017-11-01,24.09000015258789
2017-11-02,24.139999389648438
2017-11-03,24.34000015258789
2017-11-06,24.790000915527344
